City,Location,BHK,Area_sqft,Bathrooms,Age,Price_Lakh
Mohali,Sector 88,3,1500,3,8,94.31
Mumbai,Thane,4,1160,4,2,223.0
Bengaluru,Yelahanka,3,950,2,14,92.17
Chennai,Velachery,4,990,3,1,110.83
Kolkata,Rajarhat,3,1180,2,17,67.2
Kolkata,Behala,2,890,1,20,44.0
Gurgaon,Dwarka Expressway,3,1040,3,5,137.17
Delhi,Saket,3,1760,3,23,127.41
Hyderabad,Gachibowli,3,1470,3,17,122.24
Pune,Hinjewadi,2,810,3,14,65.46
Delhi,Dwarka,3,1280,2,15,134.35
Jaipur,Vaishali Nagar,4,1980,3,14,101.6
Ahmedabad,Thaltej,2,1370,2,10,100.82
Ahmedabad,Thaltej,2,1400,2,24,71.28
Bengaluru,HSR Layout,3,1220,4,1,127.04
Kochi,Aluva,2,620,1,22,26.82
Lucknow,Aliganj,2,1210,3,14,55.15
Chennai,Porur,4,1700,4,11,128.17
Ahmedabad,Vastrapur,4,2230,5,7,142.06
Bengaluru,Indiranagar,3,880,2,1,119.42
Noida,Sector 75,1,1030,2,5,70.85
Chennai,Porur,3,1200,3,7,103.25
Hyderabad,Madhapur,1,920,1,13,53.95
Lucknow,Aliganj,3,1870,3,10,94.24
Chennai,Tambaram,2,930,2,19,59.69
Kolkata,Salt Lake,2,1420,2,6,93.37
Chandigarh,Sector 22,2,1150,3,4,136.41
Lucknow,Sushant Golf City,1,890,1,25,25.0
Mumbai,Powai,4,970,4,7,204.27
Gurgaon,MG Road,3,720,3,14,108.13
Chennai,Velachery,4,870,4,16,83.6
Noida,Sector 137,3,790,3,23,66.61
Hyderabad,Kondapur,3,740,3,5,89.06
Pune,Baner,3,1480,4,22,93.34
Jaipur,Jagatpura,2,670,2,14,37.63
Kolkata,Behala,3,1140,2,6,84.99
Delhi,Dwarka,2,720,2,15,118.56
Jaipur,C-Scheme,4,1470,4,14,99.79
Gurgaon,MG Road,3,1190,3,20,127.17
Chennai,Tambaram,2,730,2,5,77.28
Bengaluru,HSR Layout,2,1510,3,5,134.54
Jaipur,Malviya Nagar,2,720,2,18,25.0
Pune,Wakad,2,1030,2,17,64.93
Chennai,Anna Nagar,2,1520,3,16,97.87
Ahmedabad,Bopal,3,1570,3,10,118.4
Mohali,Sector 70,2,1400,2,11,70.11
Kochi,Vyttila,2,690,2,21,34.54
Ahmedabad,Thaltej,4,2110,4,12,128.27
Pune,Wakad,5,2380,4,6,180.0
Noida,Sector 75,3,1190,4,19,91.36
Delhi,Janakpuri,3,800,3,20,125.65
Bengaluru,Electronic City,2,970,3,15,98.9
Chennai,Adyar,1,530,1,9,47.03
Hyderabad,Madhapur,3,1520,3,0,131.24
Ahmedabad,Maninagar,3,1740,3,22,109.04
Ahmedabad,Satellite,2,1040,2,11,64.6
Mohali,Sector 67,3,1820,4,6,117.28
Gurgaon,Sector 57,4,1780,4,8,178.16
Mumbai,Bandra,3,1140,3,13,183.82
Chandigarh,Sector 48,3,1700,4,17,159.92
Delhi,Rohini,4,1480,4,22,169.88
Pune,Baner,3,720,2,7,83.18
Delhi,Vasant Kunj,3,1640,2,0,181.68
Kolkata,Dum Dum,1,610,1,1,62.31
Chandigarh,Sector 48,4,1040,4,0,153.84
Bengaluru,Yelahanka,3,1430,4,18,124.94
Mohali,Sector 80,4,1560,3,6,120.45
Jaipur,Vaishali Nagar,2,940,2,13,33.89
Delhi,Janakpuri,2,1330,2,17,133.83
Lucknow,Indira Nagar,3,1710,3,17,86.02
Noida,Sector 75,4,1310,3,21,85.19
Bengaluru,Indiranagar,2,1170,1,23,75.96
Ahmedabad,Maninagar,2,1400,2,8,97.12
Hyderabad,Kondapur,3,1420,3,15,109.32
Chandigarh,Sector 22,1,1020,1,15,76.72
Ahmedabad,Thaltej,2,680,3,24,46.99
Kolkata,Behala,3,1340,2,24,72.56
Hyderabad,Miyapur,3,730,4,21,74.0
Lucknow,Hazratganj,3,820,3,21,38.25
Mumbai,Powai,2,1170,2,19,175.75
Bengaluru,HSR Layout,2,1310,1,24,91.28
Pune,Hinjewadi,3,990,3,18,86.57
Kolkata,Behala,1,970,1,18,35.66
Pune,Kharadi,3,1080,2,25,82.65
Jaipur,Mansarovar,2,890,2,6,56.25
Mohali,Sector 67,1,1200,1,25,25.0
Pune,Wakad,1,1070,1,13,70.0
Hyderabad,Kukatpally,2,1000,2,19,71.99
Kolkata,Salt Lake,3,950,3,8,85.26
Ahmedabad,Satellite,3,1130,3,7,88.7
Gurgaon,Sohna Road,3,1710,3,9,147.97
Chandigarh,Sector 34,2,1390,2,15,115.04
Bengaluru,Whitefield,2,1370,3,5,113.47
Kochi,Kakkanad,2,890,1,13,56.31
Gurgaon,Golf Course Road,2,1150,3,3,127.63
Kochi,Kakkanad,2,720,2,10,56.01
Chandigarh,Sector 22,2,810,2,14,97.23
Delhi,Saket,3,1260,3,8,163.5
Mumbai,Borivali,1,1030,1,22,149.95
Lucknow,Indira Nagar,4,1780,5,7,135.65
Mohali,Sector 67,2,1380,2,9,87.85
Noida,Sector 75,3,1020,2,24,72.96
Kochi,Kakkanad,4,1800,5,2,128.9
Mumbai,Andheri,3,910,3,25,166.15
Delhi,Rohini,2,1280,2,19,132.64
Mohali,Sector 80,3,1690,3,6,108.81
Ahmedabad,Bopal,1,550,2,20,28.61
Gurgaon,Golf Course Road,1,940,2,8,85.9
Kolkata,Rajarhat,3,1810,3,3,112.73
Lucknow,Hazratganj,2,1020,2,19,38.7
Noida,Sector 137,1,1180,1,19,50.09
Chennai,Adyar,4,2210,4,21,112.8
Kolkata,New Town,1,1150,1,11,66.55
Mumbai,Andheri,2,1190,2,12,177.98
Bengaluru,Yelahanka,3,1100,3,4,117.53
Bengaluru,Indiranagar,4,2010,4,13,151.92
Pune,Kharadi,4,1240,4,24,108.01
Chandigarh,Sector 22,1,650,1,8,80.79
Chennai,Anna Nagar,5,1830,5,15,127.65
Mohali,Sector 80,4,1880,4,18,123.15
Ahmedabad,Bopal,2,680,2,21,33.69
Pune,Viman Nagar,4,930,4,4,117.36
Mohali,Kharar,3,1090,2,20,74.4
Noida,Sector 78,2,1420,2,10,87.31
Mohali,Sector 80,2,1330,2,2,85.58
Jaipur,Malviya Nagar,2,1070,2,23,54.01
Gurgaon,Sector 57,3,1280,3,15,123.92
Bengaluru,Indiranagar,3,800,4,10,118.45
Kolkata,Dum Dum,2,1050,1,25,50.05
Kolkata,Rajarhat,2,650,1,1,69.23
Gurgaon,Sector 57,2,1160,3,0,125.3
Delhi,Vasant Kunj,4,1210,5,23,169.05
Gurgaon,Golf Course Road,2,680,3,8,101.62
Bengaluru,Indiranagar,3,1180,4,23,118.87
Lucknow,Hazratganj,3,800,3,0,63.7
Chennai,Adyar,3,1220,4,6,91.38
Kochi,Edappally,3,1230,3,15,76.29
Hyderabad,Gachibowli,2,710,2,13,66.17
Chennai,Tambaram,3,1410,4,21,94.97
Ahmedabad,Vastrapur,3,1010,3,15,81.31
Bengaluru,HSR Layout,3,1260,3,7,131.81
Lucknow,Hazratganj,2,890,2,13,48.51
Gurgaon,Golf Course Road,3,1030,2,21,113.78
Chennai,Anna Nagar,2,1130,1,11,81.25
Mumbai,Andheri,2,720,2,3,178.4
Noida,Sector 78,2,750,3,19,65.54
Gurgaon,Sohna Road,5,2220,5,25,178.61
Delhi,Rohini,4,1000,4,22,154.44
Pune,Baner,2,800,2,24,62.02
Delhi,Saket,2,1320,2,20,126.1
Noida,Sector 75,2,990,2,16,62.72
Noida,Sector 78,4,900,4,12,93.4
Jaipur,Malviya Nagar,4,860,5,9,92.87
Pune,Wakad,1,720,2,19,51.96
Noida,Sector 78,3,1530,3,24,91.95
Lucknow,Aliganj,3,1340,3,2,73.94
Kochi,Thrippunithura,3,980,3,23,47.89
Kolkata,Behala,2,1320,1,14,72.73
Ahmedabad,Thaltej,3,1820,4,19,101.48
Bengaluru,Indiranagar,3,990,3,16,114.49
Gurgaon,Dwarka Expressway,2,670,2,15,99.2
Noida,Sector 75,4,1630,4,14,129.31
Kolkata,Salt Lake,3,1240,4,16,90.72
Pune,Hinjewadi,3,1180,2,11,103.17
Mohali,Sector 67,3,1650,3,25,77.37
Gurgaon,Dwarka Expressway,1,900,1,1,109.79
Chennai,Porur,2,740,2,24,60.49
Jaipur,C-Scheme,2,830,2,10,52.18
Gurgaon,Golf Course Road,3,1380,3,17,126.48
Noida,Sector 62,4,1540,4,16,119.02
Noida,Sector 137,2,1270,3,14,79.29
Kochi,Kakkanad,2,780,1,16,36.17
Bengaluru,Electronic City,2,690,2,13,92.74
Mohali,Sector 88,2,740,2,8,65.28
Ahmedabad,Bopal,3,1600,3,3,103.24
Jaipur,Malviya Nagar,4,800,5,18,61.07
Hyderabad,Miyapur,2,1210,2,25,77.16
Hyderabad,Kukatpally,3,690,3,19,70.48
Ahmedabad,Vastrapur,4,1330,4,20,105.39
Delhi,Saket,2,1270,2,23,129.49
Pune,Wakad,3,1880,3,8,126.3
Mumbai,Bandra,3,690,3,0,191.09
Noida,Sector 75,3,1640,2,17,93.0
Gurgaon,Dwarka Expressway,4,1300,4,24,136.36
Mumbai,Bandra,3,1610,3,6,198.99
Chennai,Anna Nagar,1,860,2,6,57.71
Kolkata,Rajarhat,2,790,3,21,46.82
Mohali,Kharar,4,2070,4,6,148.84
Jaipur,C-Scheme,4,770,4,20,79.26
Hyderabad,Kondapur,2,1100,2,11,100.14
Kolkata,Rajarhat,2,980,2,2,87.49
Delhi,Rohini,2,920,1,20,122.4
Kochi,Vyttila,4,1140,4,7,100.46
Delhi,Janakpuri,3,1610,3,18,164.02
Lucknow,Gomti Nagar,3,770,3,1,65.33
Mohali,Sector 88,2,1190,2,7,80.7
Hyderabad,Kukatpally,3,1100,2,14,101.72
Ahmedabad,Bopal,4,960,5,8,101.54
Mumbai,Andheri,2,1160,3,20,164.49
Mohali,Kharar,2,960,1,16,61.27
Gurgaon,Sohna Road,2,790,2,20,94.16
Chennai,Porur,3,1720,4,10,121.4
Mumbai,Powai,2,610,2,22,149.95
Pune,Kharadi,2,780,1,11,70.07
Jaipur,C-Scheme,4,1300,3,6,87.51
Kolkata,Salt Lake,2,630,2,3,58.12
Kochi,Edappally,2,840,2,21,37.64
Lucknow,Gomti Nagar,2,1440,2,25,47.62
Jaipur,Malviya Nagar,4,1900,5,6,126.81
Mohali,Sector 80,4,2200,4,6,149.24
Hyderabad,Kukatpally,2,1100,2,10,85.46
Ahmedabad,Maninagar,3,1650,2,6,103.04
Kochi,Aluva,3,1820,3,8,95.44
Ahmedabad,Satellite,3,1440,3,14,99.02
Bengaluru,Indiranagar,2,1220,2,2,109.07
Chandigarh,Sector 34,2,950,3,6,115.44
Gurgaon,Sector 57,2,1180,2,24,94.01
Pune,Kharadi,4,1990,3,15,139.22
Lucknow,Aliganj,3,1310,4,24,76.78
Hyderabad,Miyapur,2,1030,3,0,86.82
Noida,Sector 150,2,1000,2,24,75.19
Kochi,Edappally,2,1510,2,18,73.62
Chandigarh,Sector 44,1,790,1,3,85.22
Jaipur,C-Scheme,2,1390,3,15,59.33
Mohali,Kharar,1,570,2,0,43.98
Kolkata,Rajarhat,3,770,3,4,78.06
Ahmedabad,Vastrapur,3,1300,3,8,99.55
Chandigarh,Sector 48,2,1150,2,14,112.38
Pune,Wakad,2,1380,2,13,97.44
Bengaluru,Yelahanka,2,1270,1,7,114.82
Delhi,Rohini,4,1380,5,3,172.05
Chennai,Adyar,2,1090,2,0,93.09
Gurgaon,Golf Course Road,2,620,1,22,72.74
Kolkata,Salt Lake,3,1220,3,8,89.68
Kolkata,Rajarhat,2,1240,1,21,64.49
Kolkata,Salt Lake,3,750,4,20,60.5
Ahmedabad,Satellite,1,780,1,7,64.31
Pune,Baner,3,770,2,25,76.56
Gurgaon,Sector 57,2,1200,3,6,123.67
Pune,Baner,1,970,1,12,68.17
Mumbai,Andheri,4,1380,5,15,215.78
